cve_id,commit_hash,cvss_score,epss_score,cwe_id,composite_score,fixed_gate_blocked,risk_gate_blocked
CVE-2018-7749,c161e26cdc0d41b745b63d9f17b437f073bf7ba4,9.8,0.01753,CWE-287,0.0105,True,False
CVE-2018-7750,fa29bd8446c8eab237f5187d28787727b4610516,9.8,0.27065,CWE-287,0.1624,True,False
CVE-2018-7753,c5df5789ec3471a31311f42c2d19fc2cf21b35ef,9.8,0.02195,CWE-20,0.0132,True,False
CVE-2018-7889,aeb5b036a0bf657951756688b3c72bd68b6e4a7d,7.8,0.04593,CWE-502,0.4276,True,True
CVE-2018-8097,f8f7019ffdf9b4e05faf95e1f04e204aa4c91f98,9.8,0.05651,CWE-94,0.0339,True,False
CVE-2019-1010283,a28053045bd2e778c50ed1acaf4e52e1e34f6e34,7.5,0.01449,CWE-200,0.0087,True,False
CVE-2019-10160,8d0ef0b5edeae52960c7ed05ae8a12388324f87e,9.8,0.05416,CWE-255,0.0325,True,False
CVE-2019-10682,d8b4615f5fbfe3997d96cf4cb3e342406396193c,7.5,0.00953,CWE-522,0.0057,True,False
CVE-2019-11340,4e1cfff53429c49c87d5c457a18ed435520044fc,5.9,0.01861,CWE-20,0.0112,False,False
CVE-2019-12105,4e334d9cf2a1daff685893e35e72398437df3dcb,8.2,0.02283,CWE-306,0.0137,True,False
CVE-2019-12387,6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2,6.1,0.02523,CWE-74,0.0151,False,False
CVE-2019-14751,f59d7ed8df2e0e957f7f247fe218032abdbe9a10,7.5,0.05831,CWE-22,0.435,True,True
CVE-2019-14806,00bc43b1672e662e5e3b8cecd79e67fc968fa246,7.5,0.02288,CWE-331,0.0137,True,False
CVE-2019-15149,5924af1566763e48c42028399ea0cd95c457b3dc,9.8,0.01632,CWE-254,0.0098,True,False
CVE-2019-16056,8cb65d1381b027f0b09ee36bfed7f35bb4dec9a9,7.5,0.05418,NVD-CWE-noinfo,0.0325,True,False
CVE-2019-16766,13b12995d35b566df08a17257a23863ab6efb0ca,8.8,0.01162,NVD-CWE-noinfo,0.007,True,False
CVE-2019-16766,a6711b29711729005770ff481b22675b35ff5c81,8.8,0.01162,NVD-CWE-noinfo,0.007,True,False
CVE-2019-16785,8eba394ad75deaf9e5cd15b78a3d16b12e6b0eba,7.5,0.02714,CWE-444,0.0163,True,False
CVE-2019-16786,f11093a6b3240fc26830b6111e826128af7771c3,7.5,0.02545,CWE-444,0.0153,True,False
CVE-2019-16789,11d9e138125ad46e951027184b13242a3c1de017,8.2,0.02587,CWE-444,0.0155,True,False
CVE-2019-16792,575994cd42e83fd772a5f7ec98b2c56751bd3f65,7.5,0.02122,CWE-444,0.0127,True,False
CVE-2019-18933,0c2cc41d2e40807baa5ee2c72987ebfb64ea2eb6,9.8,0.01352,NVD-CWE-noinfo,0.0081,True,False
CVE-2019-19010,3848ae78de45b35c029cc333963d436b9d2f0a35,9.8,0.0171,CWE-94,0.0103,True,False
CVE-2019-19274,a4d78362397fc3bced6ea80fbc7b5f4827aec55e,7.5,0.03255,CWE-125,0.0195,True,False
CVE-2019-19274,dcfcd146f8e6fc5c2fc16a4c192a0c5f5ca8c53c,7.5,0.03255,CWE-125,0.0195,True,False
CVE-2019-19275,a4d78362397fc3bced6ea80fbc7b5f4827aec55e,7.5,0.03255,CWE-125,0.0195,True,False
CVE-2019-19275,dcfcd146f8e6fc5c2fc16a4c192a0c5f5ca8c53c,7.5,0.03255,CWE-125,0.0195,True,False
CVE-2019-20916,a4c735b14a62f9cb864533808ac63936704f2ace,7.5,0.03028,CWE-22,0.4182,True,True
CVE-2020-10378,6a83e4324738bb0452fbe8074a995b1c73f08de7,5.5,0.01105,CWE-125,0.0066,False,False
CVE-2020-10379,46f4a349b88915787fea3fb91348bb1665831bbb,7.8,0.01129,CWE-120,0.0068,True,False
CVE-2020-11001,61045ceefea114c40ac4b680af58990dbe732389,6.8,0.01273,CWE-79,0.4076,False,True
CVE-2020-11010,91c364053e0ddf77edc5442914c6f049512678b3,8.8,0.01038,CWE-89,0.4062,True,True
CVE-2020-11014,ea3912c3d508ba81b280ef7d78648464f7f76fb8,8.6,0.01569,NVD-CWE-noinfo,0.0094,True,False
CVE-2020-11054,021ab572a319ca3db5907a33a59774f502b3b975,3.5,0.01282,CWE-684,0.0077,False,False
CVE-2020-11054,1b7946ed14b386a24db050f2d6dba81ba6518755,3.5,0.01282,CWE-684,0.0077,False,False
CVE-2020-11075,e41786901f097fd32104447a45864073105d37db,9.9,0.01836,NVD-CWE-Other,0.011,True,False
CVE-2020-11078,a1457cc31f3206cf691d11d2bf34e98865873e9e,6.8,0.02593,CWE-93,0.0156,False,False
CVE-2020-11093,55056f22c83b7c3520488b615e1577e0f895d75a,7.5,0.00933,CWE-347,0.0056,True,False
CVE-2020-11932,7db70650feaf513d7fb6f1ca07f2d670a0890613,2.3,0.00592,CWE-532,0.0036,False,False
CVE-2020-12607,4a16daeaf139be20654ef58a9fe4c79dc030458c,7.5,0.01268,CWE-347,0.0076,True,False
CVE-2020-12607,7b64e3efaa806b4daaf73bb5172af3581812f8de,7.5,0.01268,CWE-347,0.0076,True,False
CVE-2020-12607,e592f106edd5acf6dacedfab2ad16fe6c735c9d1,7.5,0.01268,CWE-347,0.0076,True,False
CVE-2020-12889,3ccde66dab4096ab5663e69f352992cc73e1160b,9.8,0.0123,NVD-CWE-noinfo,0.0074,True,False
CVE-2020-15093,2977188139d065ff3356c3cb4aec60c582b57e0e,8.6,0.01357,CWE-347,0.0081,True,False
CVE-2020-15100,18bbf2043e53f69e0119d24f8ae4edb274afb9b2,3.3,0.00324,CWE-400,0.0019,False,False
CVE-2020-15101,83a6b55c0435c69f447488b791555e6078803143,3.3,0.00597,CWE-400,0.0036,False,False
CVE-2020-15105,454fd9842fa6e8bb772dbf0943976bc8e3335359,5.4,0.00579,CWE-312,0.0035,False,False
CVE-2020-15110,3dfe870a7f5e98e2e398b01996ca6b8eff4bb1d0,8.1,0.00889,CWE-863,0.0053,True,False
CVE-2020-15118,d9a41e7f24d08c024acc9a3094940199df94db34,5.4,0.01083,CWE-79,0.4065,False,True
CVE-2020-15120,8d77cf5d5646e1d2d8ded13f0660638f57e98471,4.9,0.01029,CWE-863,0.0062,False,False
CVE-2020-15141,3e7dfae5d0b3685abf1ede1bc6c086a116ac4746,4.1,0.00944,CWE-22,0.4057,False,True
